smiles,reward
SOC=Cl,-1.0
C#O,-1.0
C#CSN=Cl,-1.0
C[SH]=NC=F,-1.0
C=S(C#CF)#S(=N)N,-2.0
CN=[SH]C(Cl)=S(#N)O,-2.0
O=C=S(S)#CCOC=CCl,-2.0
N=[SH]N=CCl,-2.0
N#CN=[SH]#F,-1.0
C#CCC=COCl,0.11973869292504127
C=Cl,-1.0
C=F,-1.0
O=[SH]#CSF,-2.0
CNN[SH]=O,-2.0
N#CF,-5.0
N#S(=CF)C(=N)[SH](O)CN,-2.0
NON=CF,0.6667648831035282
C=CC#Cl,-1.0
C=C=Cl,-1.0
O=S(=O)=CF,0.5553668157525635
N#CC=S(#N)C#COS,0.0030672217422388695
CS(=O)C(=N)NC#N,0.2834498431102693
CC(C)(F)NC=NO,0.3177347693674738
C=C=CNC=O,0.41744745245998877
N#CCC(O)OOON,0.14267962819878394
NSC(=O)C#CNCl,0.10747636412762823
OSCN=CCl,0.18832124742189477
N#CC=C=[SH]#[SH]=NF,-2.0
CC#S#Cl,-1.0
O[SH]=CONCl,-2.0
COC(S)C[SH]=CF,-2.0
C#S1=NC=C=[SH](NF)=C1O,-2.0
C#Cl,-1.0
O=COC=F,-1.0
N#CN(C=CF)N=N,0.21336744541845315
C[SH]=[SH]#O,-1.0
C=NOC(=O)F,0.2334971898261268
CSSC=Cl,-1.0
CS(N)(#CN(Cl)C=O)N=[SH]#N,-2.0
CNS#Cl,-1.0
CS#F,-1.0
C=[SH]C(=NF)OC(O)C#S#N,-2.0
C=NCOS,0.11424288893371053
CNN[SH]=CS#N,-2.0
C#F,-1.0
C=NC(C(C)F)=S(=O)(S)OO,0.12068614265971864
CC#SSC,-2.0
NC(=C=NSSF)OO,0.032034169949443074
C#[SH]=[SH](C)=F,-1.0
O=C=O,-5.0
C#S(F)=C=CS,-2.0
C=[SH](O)(N=[SH](=N)C=CO)OCl,-2.0
C=NCSCCO,0.6410400563599165
C#CSC=F,-1.0
N=C=Cl,-1.0
C=S(#COF)OC,-2.0
N#COS(=O)(=O)F,0.6189409218440033
C#S(=N[SH](C)Cl)OOCC#O,-1.0
NC=C=[SH]Cl,-2.0
O=N[SH]=C=[SH]C=NCl,-2.0
O=C(F)C=[SH]#[SH],-2.0
N[SH]1(OO)=C(F)N=CC1,0.029938005658063645
CON(O)OC(=O)N=NOCl,0.8176441732983988
C#CS1(=C)(SF)NCC(NN)NO1,-2.0
C=C=S=NO,0.045548759108648196
CCC(O)=C=NCl,0.46581201300086117
CCC=S(N)NF,0.0836287774300008
N#CC#CF,0.6350113239853832
C=[SH]#Cl,-1.0
NC(F)=C=C=O,-2.0
O=NSC=CCl,0.40519202819455613
C=[SH]C1=NOON=N1,-2.0
O=CN=Cl,-1.0
N#C[SH]=Cl,-1.0
N#SCN=[SH]#CCl,-2.0
OC1=[SH]#CN(F)C#COSC1,-2.0
O=NC(=O)Cl,0.7779168029590351
O#CF,-1.0
CNO[SH](O)S(=O)F,-2.0
CCSC#F,-1.0
C#[SH]=C=NCl,-2.0
CNOCOC(=O)C#COF,0.15088275028245884
N=C=NC#F,-1.0
O#CCl,-1.0
CC(=O)OF,1.5610916297593054
N#CCl,-5.0
OC(F)OOS,0.07290167012550519
O#[SH]=CF,-1.0
C=C=C(O)Cl,0.965850267407307
S=C1CSOC2=C(C1)C(OCl)OO2,0.15622959619642168
OOC=C=Cl,-1.0
CN(F)OC#O,-1.0
N=CCOS#O,-1.0
CC=CCSN=Cl,-1.0
CN=C=NF,0.21624804486247062
O=S1#CO[SH](Cl)C#C1,-2.0
C=C=NC(Cl)=CO,0.17950998977799498
C=C(Cl)NS,0.18726596712949173
N#COOCl,0.20924384923735587
N=C=NC(=O)OF,0.6105036135465028
COCS(=N)(Cl)=C=O,0.4899666211910162
OC=C=NCl,0.0644629890902528
C=C(F)NCO,0.5451363825145883
NNC(=O)Cl,0.6680331113894237
FC=C[SH]=S,-2.0
CNOOF,0.35402499507983337
NN=NC#F,-1.0
ClOC1=NN=C=N1,-2.0
N#CC(=N)C(F)=NN=O,0.5508987421147644
O=C=Cl,-1.0
CO[SH]=C=N,-2.0
N#CN(S)[SH]=O,-2.0
N#CN=[SH]Cl,-2.0
CC#O,-1.0
C[SH]=NNN=F,-1.0
OC#CONOCCl,0.08678332200874057
COO[SH]1OOC(=N)S1,-2.0
C=C=NOF,0.10342833855263253
COSC#N,0.5038351411683264
C=C(F)NS#O,-1.0
CC#[SH]=CNC(=S)C(=O)F,-2.0
F#S#S1=NON=C1,-1.0
N=S=CC(N)=C=Cl,-1.0
CC[SH](O)(S)=CNOF,-2.0
N#COSC=F,-1.0
C#S#F,-1.0
CNC(=CCC=F)[SH](#N)S,-1.0
CN=C(F)C(=C(O)N=O)C(C)=[SH](C)=S,0.09684036073726476
N#C[SH](=O)=C=Cl,-1.0
C#CC(Cl)=NON=S,0.22382281386962055
CSC(C)(O)C(O)(F)OC=C=O,0.46751003808678326
N#CC#CCl,0.5699474504618842
N=CC[SH](N)(F)=S,-2.0
C=S(S)#CCl,-2.0
N=C=N[SH]=CN,-2.0
C#S#Cl,-1.0
N#CC(S)=Cl,-1.0
CC#CN=Cl,-1.0
O#SCc1cn[nH]c1Cl,-1.0
ONOOCOF,0.11012892568035408
CS#S#F,-1.0
C#CC(F)=[SH]N=O,0.03756134970036152
O#CO,-1.0
