smiles,reward
CNC1=C(F)C(C)CCCCCCCCNC1,15.942321928146455
CC(C)CC1C=C(CF)NCCCOCCC1,11.470277394406276
CNC1=C(F)CCCCCCCCOCC1,17.140066769945584
COC1=C(F)CCCCCCCCCCNCC1,17.181727869496193
COC1=C(F)CCC(C)CCCCCOCCNC1,15.506609782138815
COC1=C(F)CCCCCCCOCCOCC1,15.684081003658282
CNC1=C(F)C2(CCCC2C)COCCCCCNCC1,9.105647089825073
COC1=C(O)CC(C)OCCOCC1CF,7.522516213349665
CCCC1CCCOCCNCC(OC)=C(F)C1,13.606807188674209
COC1=C(F)CCCCCCCCCNC1,16.965070952663762
COC1=C(F)C(C)CCCCCCCCNC1,15.998979500092315
COC1=C(F)CCCCCCCCCCCNC1,17.226706210117737
CNC1=C(F)CCCCCCCCCNC1,17.618115576680005
CCCCC1CCNCCC(OC)=C(F)C1,13.199093205032844
FCC1=CCCCCCCCCCNCCN1,17.648635659823416
NC1CC=C(CF)NCCCOCCCCCC1,14.190180914051346
CNC1=C(F)CC(C)CCCCCOCCC1N,12.58671120521086
CNC1=C(F)CCCCCCCCCCNC1,17.73981754472905
OC1=C(CF)NCCOCOCCCCCCCC1,16.682090395415823
COC1=C(Cl)CC(C)CCCCCCCNC1,15.654650652206183
CNC1=C(F)CCCCC(C)C(O)COCC1,11.179828986332193
OC1C=C(CF)NCCCOCCCCCC1,14.028720059122913
OC1=C(CF)NCCCOCCCCCCC1,16.799222867478633
FCC1=CCCCCCCOCCCCN1,17.549377936983426
OC1=C(CF)NCCOCCCCCCCC1,16.801197296478488
OC1=C(CF)NCCCOCCCCCCCC1,17.00462671282075
CCCCCCC1CCCNCC(NC)=C1F,10.252467391605206
CCCCC1CCOCCC(NC)=C(F)C1,13.033667027982968
CNC1=C(F)CCCCCCCCCNCC1,17.72038341526863
CCCC1CCCNCC(NC)=C(F)C(C)C1,11.430090214016644
CNC1=C(F)CCCCCCCCCOC1,17.08746417807148
CCCCCC1CCOCCC(NC)=CO1,7.2519048905094925
CC1CCCCCOCCCNC(CF)=C(O)C1,14.687370751485606
CC1CCCCOCCCNC(CF)=C1O,13.011825212189411
CNC1=C(F)CCCCCCCCOCCC1,17.261088014923743
CC1CCCCOCCCNC(CF)=C(O)C1,14.054407640889668
CNC1=C(F)CCCCCCCCCCCNC1,17.80673672880696
COC1=C(F)CCCC(C)CCNCC1,14.49263763408034
CNC1=C(F)CCCCCCCOCC1,16.82240147611761
COC1=C(F)CCCCCCCCCCNC1,17.234573751898054
COC1=C(F)CCCCCCCOCCCNC1,16.76999943826152
COC1=C(F)CCCCCCCCOCCNC1,16.77003535423024
CNC1=C(F)CCCCCCCCOCCNC1,17.29430946276302
CNC1=C(F)C(C)CCCCCCCNC1,15.316244147969634
CC1CCCCCOCCCNC(CF)=C1O,13.822844046832252
CCC1CCCOCCOCC(NC)=C(F)C1,13.081550693644184
CC1CCCCOCCNC(CF)=C1O,12.144987357672068
CCC1CC=C(CF)NCCOCCCC1,13.658019806194565
CCCC1CCCCOCCC(NC)=C(F)C1,14.403464717629838
CCC1CCCCC(F)=C(NC)CCOCC1,15.504126108594914
CCCCCC1COCCC(NC)=C1F,9.21798800139912
CCC1CCCCCCCCNCC(NC)=C1F,15.639677691053292
CCC1CCCC(F)=C(NC)CCOCC1,14.73355057766385
FCC1=CCCCCCCCOCCCN1,17.515276780429673
CC1(C)CC=C(CF)NCCNCCCCCO1,14.44186913401787
CCCCC1COCCCCNCC(OC)=C1F,12.3507805538936
CCC1CCC=C(CF)NCCCOCCC1,14.3950301325131
CC1CCC=C(CF)NCCCOC1,10.838411264523465
